Attributes,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Symbols,TCS.NS,MSFT,TCS.NS,MSFT,TCS.NS,MSFT,TCS.NS,MSFT,TCS.NS,MSFT,TCS.NS,MSFT
Date,,,,,,,,,,,,
2019-12-31,,156.45542907714844,,157.6999969482422,,157.77000427246094,,156.4499969482422,,156.77000427246094,,18369400.0
2020-01-01,2135.91845703125,,2167.60009765625,,2183.89990234375,,2154.0,,2168.0,,1354908.0,
2020-01-02,2126.113525390625,159.35238647460938,2157.64990234375,160.6199951171875,2179.949951171875,160.72999572753906,2149.199951171875,158.3300018310547,2179.949951171875,158.77999877929688,2380752.0,22622100.0
2020-01-03,2168.48486328125,157.36817932128906,2200.64990234375,158.6199951171875,2223.0,159.9499969482422,2164.0,158.05999755859375,2164.0,158.32000732421875,4655761.0,21116200.0
2020-01-06,2168.287841796875,157.7749481201172,2200.449951171875,159.02999877929688,2225.949951171875,159.10000610351562,2187.89990234375,156.50999450683594,2205.0,157.0800018310547,3023209.0,20813700.0
2020-01-07,2173.609130859375,156.33639526367188,2205.85009765625,157.5800018310547,2214.64990234375,159.6699981689453,2183.800048828125,157.32000732421875,2200.5,159.32000732421875,2429317.0,21634100.0
2020-01-08,2222.287109375,158.82656860351562,2255.25,160.08999633789062,2260.0,160.8000030517578,2202.050048828125,157.9499969482422,2205.0,158.92999267578125,5197454.0,27746500.0
2020-01-09,2181.985107421875,160.81077575683594,2214.35009765625,162.08999633789062,2251.949951171875,162.22000122070312,2210.0,161.02999877929688,2248.75,161.83999633789062,3734173.0,21385000.0
2020-01-10,2181.19677734375,160.06671142578125,2213.550048828125,161.33999633789062,2234.0,163.22000122070312,2208.0,161.17999267578125,2228.0,162.82000732421875,1915807.0,20725900.0
2020-01-13,2158.3359375,161.99139404296875,2190.35009765625,163.27999877929688,2218.949951171875,163.30999755859375,2184.699951171875,161.25999450683594,2217.85009765625,161.75999450683594,2843893.0,21626500.0
2020-01-14,2174.643798828125,160.85047912597656,2206.89990234375,162.1300048828125,2229.800048828125,163.60000610351562,2195.0,161.72000122070312,2195.0,163.38999938964844,2948452.0,23477400.0
2020-01-15,2194.351318359375,161.89219665527344,2226.89990234375,163.17999267578125,2231.0,163.94000244140625,2194.199951171875,162.57000732421875,2213.0,162.6199951171875,2620681.0,21417900.0
2020-01-16,2206.077392578125,164.8585968017578,2238.800048828125,166.1699981689453,2249.0,166.24000549316406,2215.0,164.02999877929688,2226.949951171875,164.35000610351562,3117214.0,23865400.0
